symbol,atomic number,Mendeleev number,atomic weight,melting temperature,periodic table column,periodic table row,covalent radius,electronegativity,s valence electrons,p valence electrons,d valence electrons,f valence electrons,valence electrons,unfilled s orbitals,unfilled p orbitals,unfilled d orbitals,unfilled f orbitals,unfilled orbitals,ground state volume per atom,ground state band gap,ground state magnetic moment,space group number,oxidation states
K,19,3.0,39.0983,336.53,1,4,203.0,0.82,1,0,0,0,1,1,0,0,0,1,73.1066666667,0.0,0.0,229.0,1
Ca,20,7.0,40.078,1115.0,2,4,176.0,1.0,2,0,0,0,2,0,0,0,0,0,37.77,0.0,0.0,225.0,2
Sc,21,11.0,44.955912,1814.0,3,4,170.0,1.36,2,0,1,0,3,0,0,9,0,9,22.235,0.0,6.35e-06,194.0,3
Ti,22,43.0,47.867,1941.0,4,4,160.0,1.54,2,0,2,0,4,0,0,8,0,8,16.69,0.0,2.25333333333e-05,194.0,2 3 4
V,23,46.0,50.9415,2183.0,5,4,153.0,1.63,2,0,3,0,5,0,0,7,0,7,13.01,0.0,0.0,229.0,2 3 4 5
Cr,24,49.0,51.9961,2180.0,6,4,139.0,1.66,1,0,5,0,6,1,0,5,0,6,11.19,0.0,0.0,229.0,2 3 6
Mn,25,52.0,54.938045,1519.0,7,4,139.0,1.55,2,0,5,0,7,0,0,5,0,5,10.4875862069,0.0,0.000310120689655,217.0,2 3 4 7
Fe,26,55.0,55.845,1811.0,8,4,132.0,1.83,2,0,6,0,8,0,0,4,0,4,10.73,0.0,2.1106628,229.0,2 3
Co,27,58.0,58.933195,1768.0,9,4,126.0,1.88,2,0,7,0,9,0,0,3,0,3,10.245,0.0,1.5484712,194.0,2 3
Ni,28,61.0,58.6934,1728.0,10,4,124.0,1.91,2,0,8,0,10,0,0,2,0,2,10.32,0.0,0.5953947,225.0,2 3
Cu,29,64.0,63.546,1357.77,11,4,132.0,1.9,1,0,10,0,11,1,0,0,0,1,11.07,0.0,0.0,225.0,1 2
Zn,30,69.0,65.38,692.68,12,4,122.0,1.65,2,0,10,0,12,0,0,0,0,0,13.96,0.0,0.0,194.0,2
Ga,31,74.0,69.723,302.91,13,4,122.0,1.81,2,1,10,0,13,0,5,0,0,5,18.8575,0.0,0.0,64.0,3
Ge,32,79.0,72.64,1211.4,14,4,120.0,2.01,2,2,10,0,14,0,4,0,0,4,23.005,0.383,0.0,225.0,2 4
As,33,84.0,74.9216,1090.0,15,4,119.0,2.18,2,3,10,0,15,0,3,0,0,3,22.175,0.0,0.0,166.0,-3 3 5
Se,34,89.0,78.96,494.0,16,4,120.0,2.55,2,4,10,0,16,0,2,0,0,2,25.92,0.799,0.0,14.0,-2 4 6
Br,35,95.0,79.904,265.8,17,4,120.0,2.96,2,5,10,0,17,0,1,0,0,1,29.48,1.457,0.0,64.0,-1 1 5
Kr,36,101.0,83.798,115.79,18,4,116.0,3.0,2,6,10,0,18,0,0,0,0,0,36.06,7.535,0.0,225.0,
Rb,37,4.0,85.4678,312.46,1,5,220.0,0.82,1,0,0,0,1,1,0,0,0,1,90.7225,0.0,0.0,229.0,1
Sr,38,8.0,87.62,1050.0,2,5,195.0,0.95,2,0,0,0,2,0,0,0,0,0,54.23,0.0,0.0,225.0,2
Y,39,12.0,88.90585,1799.0,3,5,190.0,1.22,2,0,1,0,3,0,0,9,0,9,32.365,0.0,0.0,194.0,3
Zr,40,44.0,91.224,2128.0,4,5,175.0,1.33,2,0,2,0,4,0,0,8,0,8,23.195,0.0,0.0,194.0,4
Nb,41,47.0,92.90638,2750.0,5,5,164.0,1.6,1,0,4,0,5,1,0,6,0,7,18.18,0.0,0.0,229.0,3 5
Mo,42,50.0,95.96,2896.0,6,5,154.0,2.16,1,0,5,0,6,1,0,5,0,6,15.69,0.0,0.0,229.0,6
Tc,43,53.0,98.0,2430.0,7,5,147.0,1.9,2,0,5,0,7,0,0,5,0,5,14.285,0.0,0.0,194.0,4 6 7
Ru,44,56.0,101.07,2607.0,8,5,146.0,2.2,1,0,7,0,8,1,0,3,0,4,13.51,0.0,0.0,194.0,3
Rh,45,59.0,102.9055,2237.0,9,5,142.0,2.28,1,0,8,0,9,1,0,2,0,3,13.64,0.0,0.0,225.0,3
Pd,46,62.0,106.42,1828.05,10,5,139.0,2.2,0,0,10,0,10,0,0,0,0,0,14.41,0.0,0.0,225.0,2 3
Ag,47,65.0,107.8682,1234.93,11,5,145.0,1.93,1,0,10,0,11,1,0,0,0,1,16.33,0.0,0.0,225.0,1
Cd,48,70.0,112.411,594.22,12,5,144.0,1.69,2,0,10,0,12,0,0,0,0,0,19.495,0.0,0.0,194.0,2
In,49,75.0,114.818,429.75,13,5,142.0,1.78,2,1,10,0,13,0,5,0,0,5,24.26,0.0,0.0,139.0,3
Sn,50,80.0,118.71,505.08,14,5,139.0,1.96,2,2,10,0,14,0,4,0,0,4,33.285,0.0,0.0,141.0,2 4
Sb,51,85.0,121.76,903.78,15,5,139.0,2.05,2,3,10,0,15,0,3,0,0,3,31.56,0.0,0.0,166.0,-3 3 5
Te,52,90.0,127.6,722.66,16,5,138.0,2.1,2,4,10,0,16,0,2,0,0,2,34.7633333333,0.464,0.0,152.0,-2 4 6
I,53,96.0,126.90447,386.85,17,5,139.0,2.66,2,5,10,0,17,0,1,0,0,1,43.015,1.062,0.0,64.0,-1 1 5 7
Xe,54,102.0,131.293,161.3,18,5,140.0,2.6,2,6,10,0,18,0,0,0,0,0,53.65,6.456,0.0,225.0,
Cs,55,5.0,132.9054519,301.59,1,6,244.0,0.79,1,0,0,0,1,1,0,0,0,1,115.765,0.0,0.0,229.0,1
Ba,56,9.0,137.327,1000.0,2,6,215.0,0.89,2,0,0,0,2,0,0,0,0,0,63.59,0.0,0.0,229.0,2
La,57,13.0,138.90547,1193.0,3,6,207.0,1.1,2,0,1,0,3,0,0,9,0,9,36.8975,0.0,0.0,194.0,3
Ce,58,15.0,140.116,1071.0,3,6,204.0,1.12,2,0,1,1,4,0,0,9,13,22,37.24,0.0,0.0,194.0,3 4
Pr,59,17.0,140.90765,1204.0,3,6,203.0,1.13,2,0,0,3,5,0,0,0,11,11,35.675,0.0,0.0,194.0,3
Nd,60,19.0,144.242,1294.0,3,6,201.0,1.14,2,0,0,4,6,0,0,0,10,10,34.81,0.0,0.0,194.0,3
Pm,61,21.0,145.0,1373.0,3,6,199.0,1.155,2,0,0,5,7,0,0,0,9,9,33.8425,0.0,0.0,194.0,3
Sm,62,23.0,150.36,1345.0,3,6,198.0,1.17,2,0,0,6,8,0,0,0,8,8,33.23,0.0,0.0,166.0,2 3
Eu,63,25.0,151.964,1095.0,3,6,198.0,1.185,2,0,0,7,9,0,0,0,7,7,36.46,0.0,0.0,229.0,2 3
Gd,64,27.0,157.25,1586.0,3,6,196.0,1.2,2,0,1,7,10,0,0,9,7,16,32.05,0.0,0.0,194.0,3
Tb,65,29.0,158.92535,1629.0,3,6,194.0,1.21,2,0,0,9,11,0,0,0,5,5,31.7366666667,0.0,0.0,194.0,3
Dy,66,31.0,162.5,1685.0,3,6,192.0,1.22,2,0,0,10,12,0,0,0,4,4,31.24,0.0,0.0,194.0,3
Ho,67,33.0,164.93032,1747.0,3,6,192.0,1.23,2,0,0,11,13,0,0,0,3,3,30.7333333333,0.0,0.0,194.0,3
Er,68,35.0,167.259,1770.0,3,6,189.0,1.24,2,0,0,12,14,0,0,0,2,2,30.585,0.0,0.0,194.0,3
Tm,69,37.0,168.93421,1818.0,3,6,190.0,1.25,2,0,0,13,15,0,0,0,1,1,29.78,0.0,0.0,194.0,3
Yb,70,39.0,173.054,1092.0,3,6,187.0,1.26,2,0,0,14,16,0,0,0,0,0,34.12,0.0,0.0,225.0,2 3
Lu,71,41.0,174.9668,1936.0,3,6,187.0,1.27,2,0,1,14,17,0,0,9,0,9,28.865,0.0,0.0022471,194.0,3
Hf,72,45.0,178.49,2506.0,4,6,175.0,1.3,2,0,2,14,18,0,0,8,0,8,22.2,0.0,0.0,194.0,4
Ta,73,48.0,180.94788,3290.0,5,6,170.0,1.5,2,0,3,14,19,0,0,7,0,7,18.12,0.0,0.0,229.0,5
W,74,51.0,183.84,3695.0,6,6,162.0,2.36,2,0,4,14,20,0,0,6,0,6,16.05,0.0,0.0,229.0,6
Re,75,54.0,186.207,3459.0,7,6,151.0,1.9,2,0,5,14,21,0,0,5,0,5,14.655,0.0,0.0,194.0,4 6 7
Os,76,57.0,190.23,3306.0,8,6,144.0,2.2,2,0,6,14,22,0,0,4,0,4,14.09,0.0,0.0,194.0,3 4
Ir,77,60.0,192.217,2739.0,9,6,141.0,2.2,2,0,7,14,23,0,0,3,0,3,14.21,0.0,0.0,225.0,3 4
Pt,78,63.0,195.084,2041.4,10,6,136.0,2.28,1,0,9,14,24,1,0,1,0,2,15.02,0.0,0.0,225.0,2 4
Au,79,66.0,196.966569,1337.33,11,6,136.0,2.54,1,0,10,14,25,1,0,0,0,1,16.7,0.0,0.0,225.0,1 3
Hg,80,71.0,200.59,234.32,12,6,132.0,2.0,2,0,10,14,26,0,0,0,0,0,25.2375862069,0.0,0.0,166.0,1 2
Tl,81,76.0,204.3833,577.0,13,6,145.0,1.62,2,1,10,14,27,0,5,0,0,5,26.91,0.0,0.0,194.0,1 3
Pb,82,81.0,207.2,600.61,14,6,146.0,2.33,2,2,10,14,28,0,4,0,0,4,28.11,0.0,0.0,225.0,2 4
Bi,83,86.0,208.9804,544.4,15,6,148.0,2.02,2,3,10,14,29,0,3,0,0,3,32.95,0.0,0.0,12.0,3 5
Po,84,91.0,209.0,527.0,16,6,140.0,2.0,2,4,10,14,30,0,2,0,0,2,38.73125,0.0,0.0,221.0,2 4
At,85,97.0,210.0,575.0,17,6,150.0,2.2,2,5,10,14,31,0,1,0,0,1,38.73125,0.0,0.0,,-1 5 7
Rn,86,103.0,222.0,202.0,18,6,150.0,,2,6,10,14,32,0,0,0,0,0,38.73125,0.0,0.0,,
Fr,87,6.0,223.0,,1,7,260.0,0.7,1,0,0,0,1,1,0,0,0,1,38.73125,0.0,0.0,,1
Ra,88,10.0,226.0,973.0,2,7,221.0,0.9,2,0,0,0,2,0,0,0,0,0,38.73125,0.0,0.0,229.0,2
Ac,89,14.0,227.0,1323.0,3,7,215.0,1.1,2,0,1,0,3,0,0,9,0,9,44.5125,0.0,0.0,225.0,3
Th,90,16.0,232.03806,2023.0,3,7,206.0,1.3,2,0,2,0,4,0,0,8,0,8,32.37,0.0,0.0,225.0,4
Pa,91,18.0,231.03586,1845.0,3,7,200.0,1.5,2,0,1,2,5,0,0,9,12,21,25.18,0.0,0.0,139.0,4 5
U,92,20.0,238.02891,1408.0,3,7,196.0,1.38,2,0,1,3,6,0,0,9,11,20,20.025,0.0,0.0,63.0,3 4 5 6
Np,93,22.0,237.0,917.0,3,7,190.0,1.36,2,0,1,4,7,0,0,9,10,19,18.45375,0.0,0.0,62.0,3 4 5 6
Pu,94,24.0,244.0,913.0,3,7,187.0,1.28,2,0,0,6,8,0,0,0,8,8,18.08,0.0,0.3180036375,11.0,3 4 5 6
Am,95,26.0,243.0,1449.0,3,7,180.0,1.3,2,0,0,7,9,0,0,0,7,7,18.08,0.0,0.3180036375,194.0,3 4 5 6
Cm,96,28.0,247.0,1618.0,3,7,169.0,1.3,2,0,1,7,10,0,0,9,7,16,18.08,0.0,0.3180036375,194.0,3
Bk,97,30.0,247.0,1323.0,3,7,,1.3,2,0,0,9,11,0,0,0,5,5,18.08,0.0,0.3180036375,194.0,3 4
Cf,98,32.0,251.0,1173.0,3,7,,1.3,2,0,0,10,12,0,0,0,4,4,18.08,0.0,0.3180036375,194.0,3
Es,99,34.0,252.0,1133.0,3,7,,1.3,2,0,0,11,13,0,0,0,3,3,18.08,0.0,0.3180036375,,3
Fm,100,36.0,257.0,1800.0,3,7,,1.3,2,0,0,12,14,0,0,0,2,2,18.08,0.0,0.3180036375,,3
Md,101,38.0,258.0,1100.0,3,7,,1.3,2,0,0,13,15,0,0,0,1,1,18.08,0.0,0.3180036375,,3
No,102,40.0,259.0,1100.0,3,7,,1.3,2,0,0,14,16,0,0,0,0,0,18.08,0.0,0.3180036375,,3
Lr,103,42.0,262.0,1900.0,3,7,,,2,1,0,14,17,0,5,0,0,5,18.08,0.0,0.3180036375,,3
Rf,104,,265.0,,4,7,,,2,0,2,14,18,0,0,8,0,8,18.08,0.0,0.3180036375,,4
Db,105,,268.0,,5,7,,,2,0,3,14,19,0,0,7,0,7,18.08,0.0,0.3180036375,,5
Sg,106,,271.0,,6,7,,,2,0,4,14,20,0,0,6,0,6,18.08,0.0,0.3180036375,,6
Bh,107,,272.0,,7,7,,,2,0,5,14,21,0,0,5,0,5,18.08,0.0,0.3180036375,,4 6 7
Hs,108,,270.0,,8,7,,,2,0,6,14,22,0,0,4,0,4,18.08,0.0,0.3180036375,,3 4
Mt,109,,276.0,,9,7,,,2,0,7,14,23,0,0,3,0,3,18.08,0.0,0.3180036375,,3 4
Ds,110,,281.0,,10,7,,,1,0,9,14,24,1,0,1,0,2,18.08,0.0,0.3180036375,,2 4
Rg,111,,280.0,,11,7,,,1,0,10,14,25,1,0,0,0,1,18.08,0.0,0.3180036375,,1 3
Cn,112,,285.0,,12,7,,,2,0,10,14,26,0,0,0,0,0,18.08,0.0,0.3180036375,,1 2
